STATE,COUNTY,POP,CASES,PCI,MHI,OVER65
Kansas,Greeley County,1247,,32650,52847,261
Nebraska,Greeley County,2538,2,23833,44950,585
Kentucky,Green County,11258,17,17984,34406,1946
Wisconsin,Green County,36842,29,27060,55584,5497
Wisconsin,Green Lake County,19051,17,25275,46994,3652
West Virginia,Greenbrier County,35480,45,21720,37895,6838
Alabama,Greene County,9045,9,14930,24226,1454
Arkansas,Greene County,42090,45,19652,38413,6034
Georgia,Greene County,15994,18,27828,42565,3358
Illinois,Greene County,13886,17,22307,43502,2388
Indiana,Greene County,33165,36,22235,43980,5317
Iowa,Greene County,9336,10,26205,45865,1951
Mississippi,Greene County,14400,9,14463,36888,1617
Missouri,Greene County,275174,209,23520,40337,38593
New York,Greene County,49221,60,25700,49655,8514
North Carolina,Greene County,21362,18,18441,40853,2665
Ohio,Greene County,161573,115,30040,58080,21998
Pennsylvania,Greene County,38686,36,21819,44388,5931
Tennessee,Greene County,68831,86,19801,35545,12006
Virginia,Greene County,18403,14,26998,59358,106290
Arizona,Greenlee County,8437,5,20516,47992,1016
Virginia,Greensville County,12243,13,16380,39697,1293
Kentucky,Greenup County,36910,53,22035,44060,6288
South Carolina,Greenville County,451225,323,26643,49022,57581
Kansas,Greenwood County,6689,,22280,38346,1485
South Carolina,Greenwood County,69661,60,21053,36540,10544
Oklahoma,Greer County,6239,8,17969,39900,1084
Texas,Gregg County,121730,100,24064,45525,16476
South Dakota,Gregory County,4271,4,23041,36719,1013
Mississippi,Grenada County,21906,23,21084,34129,3277
North Dakota,Griggs County,2420,2,27197,45542,637
Texas,Grimes County,26604,20,20307,43994,3672
Illinois,Grundy County,50063,42,28725,64541,5546
Iowa,Grundy County,12453,9,31164,56827,2342
Missouri,Grundy County,10261,8,19527,37964,2100
Tennessee,Grundy County,13703,17,15683,26814,2401
New Mexico,Guadalupe County,4687,2,14198,29071,728
Texas,Guadalupe County,131533,90,26184,61958,15297
Ohio,Guernsey County,40087,46,20537,38841,6426
North Carolina,Guilford County,488406,380,26461,45431,60123
Florida,Gulf County,15863,18,18546,40455,2587
Colorado,Gunnison County,15324,5,27654,52332,1351
Iowa,Guthrie County,10954,11,28030,50609,2178
Georgia,Gwinnett County,805321,320,25932,60445,55105
South Dakota,Haakon County,1937,2,25754,47198,421
Georgia,Habersham County,43041,38,18910,39306,6599
Alaska,Haines Borough,2508,2,31096,52866,345
Alabama,Hale County,15760,11,18812,30051,2370
Texas,Hale County,36273,16,18004,41191,4435
North Carolina,Halifax County,54691,39,17937,32329,8836
Virginia,Halifax County,36241,58,20929,34659,8289
Georgia,Hall County,179684,121,23645,50853,20010
Nebraska,Hall County,58607,39,23380,48712,7850
Texas,Hall County,3353,4,19004,33006,759
Tennessee,Hamblen County,62544,73,21261,39596,9918
Florida,Hamilton County,14799,14,16295,37716,1946
Illinois,Hamilton County,8457,11,21960,38417,1671
Indiana,Hamilton County,274569,118,39521,82468,23689
Iowa,Hamilton County,15673,17,24510,43589,2835
Kansas,Hamilton County,2690,,24510,43357,366
Nebraska,Hamilton County,9124,9,26715,56065,1499
New York,Hamilton County,4836,8,28265,51522,1130
Ohio,Hamilton County,802374,673,29681,48593,106863
Tennessee,Hamilton County,336463,298,27229,46702,49415
Texas,Hamilton County,8517,10,23067,40655,2105
South Dakota,Hamlin County,5903,5,25233,55563,1020
Massachusetts,Hampden County,463490,362,25817,49094,65745
Massachusetts,Hampshire County,158080,101,29460,61227,20022
West Virginia,Hampshire County,23964,28,17734,27766,3898
Virginia,Hampton city,137436,113,19332,34233,11964
South Carolina,Hampton County,21090,18,25247,50705,2829
Georgia,Hancock County,9429,7,12381,25000,1468
Illinois,Hancock County,19104,19,23714,43925,3786
Indiana,Hancock County,70002,62,28111,62981,8937
Iowa,Hancock County,11341,9,25814,50105,2166
Kentucky,Hancock County,8565,8,22686,51189,1196
Maine,Hancock County,54418,59,27797,47460,9937
Mississippi,Hancock County,43929,56,22621,44522,6685
Ohio,Hancock County,74782,57,26139,49589,10673
Tennessee,Hancock County,6819,10,14326,23892,1159
West Virginia,Hancock County,30676,35,23261,38522,5754
South Dakota,Hand County,3431,2,26027,47679,867
Virginia,Hanover County,99863,83,33540,75070,2686
Texas,Hansford County,5613,2,23969,49150,766
South Dakota,Hanson County,3331,2,23197,55815,467
Georgia,Haralson County,28780,32,19789,39993,4036
Florida,Hardee County,27731,22,15366,37125,3575
Tennessee,Hardeman County,27253,34,14975,30973,3811
Texas,Hardeman County,4139,2,19829,36377,808
Illinois,Hardin County,4320,8,22366,37071,878
Iowa,Hardin County,17534,18,25153,49342,3675
Kentucky,Hardin County,105543,112,24147,48687,11608
Ohio,Hardin County,32058,31,19626,40415,4303
Tennessee,Hardin County,26026,36,20127,33622,4809
Texas,Hardin County,54635,45,25559,53013,7382
New Mexico,Harding County,695,2,25686,34063,203
South Dakota,Harding County,1255,2,22247,44353,182
West Virginia,Hardy County,14025,13,19032,32723,2329
Maryland,Harford County,244826,207,35425,80622,5231
Kentucky,Harlan County,29278,49,16257,25906,4179
Nebraska,Harlan County,3423,2,25322,45920,805
Oklahoma,Harmon County,2922,4,18582,26688,506
North Carolina,Harnett County,114678,96,20310,44625,11947
Oregon,Harney County,7422,5,20865,38113,1402
Kansas,Harper County,6034,,22820,38313,1307
Oklahoma,Harper County,3685,3,22675,46117,686
Georgia,Harris County,32024,26,31482,69223,4238
Texas,Harris County,4092459,1748,27899,53137,333487
Indiana,Harrison County,39364,48,23244,50510,5451
Iowa,Harrison County,14928,14,26184,54583,2659
Kentucky,Harrison County,18846,27,21424,36048,2812
Mississippi,Harrison County,187105,193,22677,43124,21952
Missouri,Harrison County,8957,10,19468,37739,1854
Ohio,Harrison County,15864,15,21029,39002,2880
Texas,Harrison County,65631,54,23236,45675,8716
West Virginia,Harrison County,69099,84,23309,43183,11408
Virginia,Harrisonburg city,48914,19,17080,38048,4740
Georgia,Hart County,25213,25,20371,35615,4527
Kentucky,Hart County,18199,30,17273,33408,2713
Connecticut,Hartford County,894014,660,34698,64967,130119
Texas,Hartley County,6062,2,24566,65750,757
Kansas,Harvey County,34684,,23775,50287,5943
Kansas,Haskell County,4256,,25114,52415,456
Oklahoma,Haskell County,12769,11,18896,35334,2242
Texas,Haskell County,5899,4,22223,36857,1286
Hawaii,Hawaii County,185079,116,24635,51250,26834
Tennessee,Hawkins County,56833,85,20662,37357,9367
Nebraska,Hayes County,967,2,23749,49125,191
Texas,Hays County,157107,65,26873,58651,13285
North Carolina,Haywood County,59036,77,24536,41557,12416
Tennessee,Haywood County,18787,16,18714,34542,2583
Georgia,Heard County,11834,16,18964,39909,1565
Texas,Hemphill County,3807,2,29544,56379,492
Arkansas,Hempstead County,22609,19,17376,32056,3396
Illinois,Henderson County,7331,8,25902,49389,1532
Kentucky,Henderson County,46250,54,22746,41940,6551
North Carolina,Henderson County,106740,113,25670,44815,23865
Tennessee,Henderson County,27769,32,20449,38280,4112
Texas,Henderson County,78532,107,21995,40900,15032
Indiana,Hendricks County,145448,107,29830,68297,15569
Florida,Hendry County,39140,24,16133,35425,4491
Minnesota,Hennepin County,1152425,,37485,64403,130814
Virginia,Henrico County,306935,221,33115,61048,4022
Alabama,Henry County,17302,18,21924,41650,3044
Georgia,Henry County,203922,104,25299,60781,17048
Illinois,Henry County,50486,51,27117,52940,8624
Indiana,Henry County,49462,52,20309,40679,8001
Iowa,Henry County,20145,21,22687,46376,3228
Kentucky,Henry County,15416,18,21923,46016,2190
Missouri,Henry County,22272,32,22394,39839,4345
Ohio,Henry County,28215,22,23347,49439,4349
Tennessee,Henry County,32330,38,22239,36950,6364
Virginia,Henry County,54151,53,19852,34984,1480
New York,Herkimer County,64519,71,23418,45047,10856
Florida,Hernando County,172778,243,21411,41024,44523
North Carolina,Hertford County,24669,19,17863,33406,3898
North Dakota,Hettinger County,2477,2,27910,47743,638
Kentucky,Hickman County,4902,6,19292,34029,1019
Tennessee,Hickman County,24690,30,18383,39581,3440
Missouri,Hickory County,9627,15,17361,29325,2846
New Mexico,Hidalgo County,4894,2,18392,34080,815
Texas,Hidalgo County,774769,196,14222,34146,72248
Ohio,Highland County,43589,41,19348,39091,6618
Virginia,Highland County,2321,2,26372,49625,9877
Florida,Highlands County,98786,147,20072,35560,31822
Montana,Hill County,16096,9,21376,43726,2038
Texas,Hill County,35089,36,21182,40769,6418
Florida,Hillsborough County,1229226,887,27149,49596,145237
New Hampshire,Hillsborough County,400721,290,34390,69829,47527
Michigan,Hillsdale County,46688,43,20379,41759,7344
Mississippi,Hinds County,245285,180,20448,37626,26551
Colorado,Hinsdale County,843,2,36365,56667,147
Nebraska,Hitchcock County,2908,2,23554,39702,665
Ohio,Hocking County,29380,28,21037,42089,4491
Texas,Hockley County,22935,12,21984,50565,2927
Kansas,Hodgeman County,1916,,30440,52375,396
North Carolina,Hoke County,46952,31,18761,45489,3483
Florida,Holmes County,19927,19,16845,35511,3425
Mississippi,Holmes County,19198,17,12113,22325,2422
Ohio,Holmes County,42366,20,17177,45477,4801
Missouri,Holt County,4912,5,24127,42979,1043
Nebraska,Holt County,10435,6,24120,44427,2143
Hawaii,Honolulu County,953207,573,30361,72764,138490
Texas,Hood County,51182,60,30046,55754,10892
Oregon,Hood River County,22346,12,25181,56725,2807
Nebraska,Hooker County,736,2,20737,39327,193
Alaska,Hoonah-Angoon Census Area,2150,,28806,49545,288
Virginia,Hopewell city,22591,23,20388,37933,4240
Kentucky,Hopkins County,46920,53,22132,40891,7244
Texas,Hopkins County,35161,35,21606,43657,5448
South Carolina,Horry County,269291,318,24002,42431,46070
Arkansas,Hot Spring County,32923,38,19286,41193,5164
Wyoming,Hot Springs County,4812,5,26544,42019,1088
Michigan,Houghton County,36628,26,19783,35430,5476
Alabama,Houston County,101547,85,23316,40948,14675
Georgia,Houston County,139900,99,25195,54893,14571
Minnesota,Houston County,19027,,26450,52545,3307
Tennessee,Houston County,8426,12,18539,35271,1503
Texas,Houston County,23732,26,19090,33119,4562
Arkansas,Howard County,13789,15,18707,35879,2104
Indiana,Howard County,82752,89,24071,43590,13441
Iowa,Howard County,9566,8,24286,46429,1847
Maryland,Howard County,287085,123,48172,109865,30564
Missouri,Howard County,10144,8,21598,42747,1609
Nebraska,Howard County,6274,6,26770,49088,1175
Texas,Howard County,35012,22,19965,45612,4615
Missouri,Howell County,40400,35,17416,32533,6909
Minnesota,Hubbard County,20428,,24880,45961,4245
New Jersey,Hudson County,634266,269,32641,58442,66066
Texas,Hudspeth County,3476,2,14142,22545,472
Colorado,Huerfano County,6711,6,24058,33298,1689
Oklahoma,Hughes County,14003,19,18268,34619,2411
South Dakota,Hughes County,17022,11,30284,59338,2285
California,Humboldt County,134623,93,23540,41426,17725
Iowa,Humboldt County,9815,11,26746,47897,2021
Nevada,Humboldt County,16528,8,26515,59472,257
Mississippi,Humphreys County,9375,8,12874,23600,1169
Tennessee,Humphreys County,18538,23,22183,42846,3205
Texas,Hunt County,86129,84,22341,44858,12001
New Jersey,Hunterdon County,128349,84,50349,106143,16344
Pennsylvania,Huntingdon County,45913,38,20739,44183,7458
Indiana,Huntington County,37124,29,22601,46148,5466
Michigan,Huron County,33118,36,22120,40204,7198
Ohio,Huron County,59626,47,22257,49404,8084
South Dakota,Hutchinson County,7343,5,26110,42451,1838
Texas,Hutchinson County,22150,19,23383,44731,3266
North Carolina,Hyde County,5810,5,18408,42279,875
South Dakota,Hyde County,1420,2,26195,47813,321
Louisiana,Iberia Parish,73240,59,22997,44262,8914
Louisiana,Iberville Parish,33387,33,21177,45368,4004
Iowa,Ida County,7089,9,25869,43449,1465
Idaho,Idaho County,16267,14,19168,37349,3444
California,Imperial County,174528,64,16763,41807,18152
Arkansas,Independence County,36647,42,20289,35026,5730
Florida,Indian River County,138028,200,30532,44772,37504
Pennsylvania,Indiana County,88880,63,22933,43997,13944
Michigan,Ingham County,280895,158,24754,45321,29413
California,Inyo County,18546,14,27441,44796,3535
Michigan,Ionia County,63905,54,20206,47892,7253
Michigan,Iosco County,25887,37,22047,36236,6755
Iowa,Iowa County,16355,11,28068,58008,2811
Wisconsin,Iowa County,23687,19,26625,55659,3269
North Carolina,Iredell County,159437,134,26467,50329,20445
Texas,Irion County,1599,2,28055,50357,291
Michigan,Iron County,11817,14,21499,34685,3108
Missouri,Iron County,10630,16,19101,36387,1899
Utah,Iron County,46163,12,17839,42369,4533
Wisconsin,Iron County,5916,9,23324,39051,1502
Illinois,Iroquois County,29718,34,25098,47079,5627
Georgia,Irwin County,9538,11,18207,40771,1485
Michigan,Isabella County,70311,41,19061,36372,6827
Minnesota,Isanti County,37816,,25482,57353,4680
Washington,Island County,78506,61,30941,58455,14439
Virginia,Isle of Wight County,35270,26,30903,63942,9954
Mississippi,Issaquena County,1406,2,13731,24767,203
Minnesota,Itasca County,45058,,24079,46912,8574
Mississippi,Itawamba County,23401,30,18106,36073,3701
Arkansas,Izard County,13696,15,18040,30661,3229
Texas,Jack County,9044,6,24325,49038,1350
Alabama,Jackson County,53227,62,20486,37634,8773
Arkansas,Jackson County,17997,25,15609,30284,2856
Colorado,Jackson County,1394,2,25936,43606,257
Florida,Jackson County,49746,39,17525,36809,7801
Georgia,Jackson County,60485,56,23247,53179,7197
Illinois,Jackson County,60218,44,20527,33479,7002
Indiana,Jackson County,42376,45,22568,46501,6068
Iowa,Jackson County,19848,17,24493,46467,3693
Kansas,Jackson County,13462,,24117,54546,2073
Kentucky,Jackson County,13494,19,15880,26156,1862
Michigan,Jackson County,160248,153,19188,37388,22679
Minnesota,Jackson County,10266,,22613,46615,2044
Mississippi,Jackson County,139668,127,27361,51681,17341
Missouri,Jackson County,674158,555,23879,48943,83990
North Carolina,Jackson County,40271,29,26062,47015,6084
Ohio,Jackson County,33225,39,21014,36951,4690
Oklahoma,Jackson County,26446,16,19405,36356,3423
Oregon,Jackson County,203206,183,22925,42824,35834
South Dakota,Jackson County,3031,2,24378,44005,407
Tennessee,Jackson County,11638,16,20319,46224,2055
Texas,Jackson County,14075,15,18387,33386,2313
West Virginia,Jackson County,29211,34,23418,49528,5165
Wisconsin,Jackson County,20449,14,22527,40376,3303
Louisiana,Jackson Parish,16274,17,21849,44149,2717
Virginia,James City County,67009,59,39133,76960,2413
Georgia,Jasper County,13900,13,21297,42192,1764
Illinois,Jasper County,9698,10,24174,52233,1689
Indiana,Jasper County,33478,31,24297,57500,4702
Iowa,Jasper County,36842,32,24905,50513,6089
Mississippi,Jasper County,17062,20,18075,31170,2735
Missouri,Jasper County,117404,116,21124,40399,15714
South Carolina,Jasper County,24777,18,17350,36413,2769
Texas,Jasper County,35710,34,20254,40417,5932
Indiana,Jay County,21253,21,19236,40235,3267
Georgia,Jeff Davis County,15068,13,17684,36296,1874
Texas,Jeff Davis County,2342,2,26958,49056,543
Alabama,Jefferson County,658466,477,26906,45429,86443
Arkansas,Jefferson County,77435,76,19353,37140,10255
Colorado,Jefferson County,534543,282,36087,68984,67411
Florida,Jefferson County,14761,11,21184,44170,2432
Georgia,Jefferson County,16930,12,14757,26968,2498
Idaho,Jefferson County,26140,9,19598,52023,2504
Illinois,Jefferson County,38827,39,22620,42981,6288
Indiana,Jefferson County,32428,40,21524,43795,4742
Iowa,Jefferson County,16843,11,27593,48814,2501
Kansas,Jefferson County,19126,,26280,56875,2952
Kentucky,Jefferson County,741096,762,27925,46959,99095
Mississippi,Jefferson County,7726,6,26908,48261,998
Missouri,Jefferson County,218733,211,12723,26028,24394
Montana,Jefferson County,11406,7,24792,54845,1605
Nebraska,Jefferson County,7547,8,30397,60863,1661
New York,Jefferson County,116229,104,24777,44843,12981
Ohio,Jefferson County,69709,81,23078,46484,12756
Oklahoma,Jefferson County,6472,7,22324,40577,1239
Oregon,Jefferson County,21720,14,19042,34701,3331
Pennsylvania,Jefferson County,45200,42,21593,43373,8255
Tennessee,Jefferson County,51407,54,21300,41262,8334
Texas,Jefferson County,252273,171,20619,39745,32002
Washington,Jefferson County,29872,32,23236,42568,7842
West Virginia,Jefferson County,53498,43,28266,46320,6314
Wisconsin,Jefferson County,83686,57,29605,65304,11042
Mississippi,Jefferson Davis County,12487,10,25625,53454,2068
Louisiana,Jefferson Davis Parish,31594,32,21132,41622,58988
Louisiana,Jefferson Parish,432552,343,16216,27186,4585
Georgia,Jenkins County,8340,8,17565,26104,1256
Indiana,Jennings County,28525,29,20109,44128,3601
South Dakota,Jerauld County,2071,2,26590,46591,519
Idaho,Jerome County,22374,12,17182,40126,2507
Illinois,Jersey County,22985,21,25467,53954,3605
Kentucky,Jessamine County,48586,51,25637,49024,5494
Kansas,Jewell County,3077,,23134,39884,863
Texas,Jim Hogg County,5300,2,19212,36121,789
Texas,Jim Wells County,40838,17,20452,40585,5332
Illinois,Jo Daviess County,22678,25,29675,50817,4832
Arkansas,Johnson County,25540,29,19366,31003,3749
Georgia,Johnson County,9980,7,16807,36722,1389
Illinois,Johnson County,12582,18,18763,40760,2167
Indiana,Johnson County,139654,114,28575,61231,17174
Iowa,Johnson County,130882,62,29592,53424,11211
Kansas,Johnson County,544179,,38827,74717,59322
Kentucky,Johnson County,23356,33,19445,34090,3301
Missouri,Johnson County,52595,37,21547,47223,5644
Nebraska,Johnson County,5217,5,19435,42364,919
Tennessee,Johnson County,18244,25,16470,29609,3228
Texas,Johnson County,150934,116,24816,57535,17331
Wyoming,Johnson County,8569,7,28072,57004,1588
North Carolina,Johnston County,168878,149,22410,49711,17259
Oklahoma,Johnston County,10957,10,19967,36192,1819
Georgia,Jones County,28669,30,24485,51497,3586
Iowa,Jones County,20638,19,26762,55041,3556
Mississippi,Jones County,67761,58,19519,38074,9748
North Carolina,Jones County,10153,13,20105,36213,1756
South Dakota,Jones County,1006,2,23377,44808,207
Texas,Jones County,20202,14,14827,41297,2764
Oregon,Josephine County,82713,105,21791,37733,18438
Utah,Juab County,10246,2,18108,55247,1043
Montana,Judith Basin County,2072,2,24260,41932,431
Alaska,Juneau City and Borough,31275,12,37558,81490,2635
Wisconsin,Juneau County,26664,29,23343,45297,4677
Pennsylvania,Juniata County,24636,21,21628,46163,4134
Michigan,Kalamazoo County,250331,155,25757,45775,30780
Hawaii,Kalawao County,90,2,45515,59375,26
Michigan,Kalkaska County,17153,20,20258,40140,2837
Minnesota,Kanabec County,16239,,22291,47068,2659
West Virginia,Kanawha County,193063,215,28174,46085,32315
Minnesota,Kandiyohi County,42239,,26880,50149,6832
Illinois,Kane County,515269,260,30082,69530,49690
Utah,Kane County,7125,3,24154,48540,1388
Illinois,Kankakee County,113449,103,23779,50102,15237
Texas,Karnes County,14824,10,19899,42862,2068
Hawaii,Kauai County,67091,37,26658,62052,9985
Texas,Kaufman County,103350,83,24954,61194,10622
Oklahoma,Kay County,46562,49,22207,41012,7932
Nebraska,Kearney County,6489,5,27796,56466,1187
Kansas,Kearny County,3977,,22292,52264,535
Nebraska,Keith County,8368,9,25097,41970,1772
Mississippi,Kemper County,10456,8,13795,29003,1635
Alaska,Kenai Peninsula Borough,55400,41,31256,61793,6276
Illinois,Kendall County,114736,55,31276,81765,8382
Texas,Kendall County,33410,23,35827,73410,5584
Texas,Kenedy County,416,2,15157,43438,59
Maine,Kennebec County,122151,122,25770,46808,18960
Wisconsin,Kenosha County,166426,126,26514,54930,18679
Delaware,Kent County,162310,162,24851,55149,21982
Maryland,Kent County,20197,18,31502,56259,29045
Michigan,Kent County,602622,360,25889,51667,67104
Rhode Island,Kent County,166158,180,33814,62279,26069
Texas,Kent County,808,2,24839,46875,208
Kentucky,Kenton County,159720,143,27704,54270,17853
Iowa,Keokuk County,10511,10,22243,42167,2021
California,Kern County,839631,337,20295,48552,75437
Texas,Kerr County,49625,46,26334,43601,12314
South Carolina,Kershaw County,61697,64,22638,43765,8797
Alaska,Ketchikan Gateway Borough,13477,10,31589,62519,1367
Wisconsin,Kewaunee County,20574,14,25282,53588,3393
Michigan,Keweenaw County,2156,2,24802,39038,518
Nebraska,Keya Paha County,824,2,25251,36923,211
North Dakota,Kidder County,2435,2,28904,50000,511
Nebraska,Kimball County,3821,3,24565,42180,844
Texas,Kimble County,4607,2,27502,43424,1051
Virginia,King and Queen County,6945,11,29836,65000,1423
Texas,King County,286,2,39911,71811,38
Washington,King County,1931249,995,23868,48372,210679
Virginia,King George County,23584,19,34234,81753,3116
Virginia,King William County,15935,11,26940,62670,5410
Oklahoma,Kingfisher County,15034,11,25773,54666,2257
Kansas,Kingman County,7858,,24026,47466,1570
California,Kings County,152982,47,18429,48133,12030
New York,Kings County,2504700,1242,25289,46085,287633
South Dakota,Kingsbury County,5148,7,27485,51373,1120
Texas,Kinney County,3598,2,16700,33257,874
Colorado,Kiowa County,1398,2,22482,40813,300
Kansas,Kiowa County,2553,,23232,44650,482
Oklahoma,Kiowa County,9446,12,23576,36281,1734
Colorado,Kit Carson County,8270,5,21850,44157,1322
Washington,Kitsap County,251133,186,31769,62413,33296
Washington,Kittitas County,40915,19,22796,42982,5212
Minnesota,Kittson County,4552,,26927,48875,1029
Oregon,Klamath County,66380,58,21489,39627,11351
Texas,Kleberg County,32061,14,18918,40566,3681
Washington,Klickitat County,20318,18,22229,41694,3625
Kentucky,Knott County,16346,25,18448,33889,2183
Illinois,Knox County,52919,53,22093,40667,9762
Indiana,Knox County,38440,38,21047,42119,6062
Kentucky,Knox County,31883,49,14367,24038,4650
Maine,Knox County,39736,47,27865,49755,7594
Missouri,Knox County,4131,4,20946,34481,828
Nebraska,Knox County,8701,6,25214,42230,1979
Ohio,Knox County,60921,54,23878,49750,8987
Tennessee,Knox County,432226,358,28136,47694,56491
Texas,Knox County,3719,2,19396,34295,790
Alaska,Kodiak Island Borough,13592,7,28562,68718,915
Minnesota,Koochiching County,13311,,26045,41108,2604
Idaho,Kootenai County,138494,119,24685,49002,20078
Indiana,Kosciusko County,77358,62,24881,50859,10473
Iowa,Kossuth County,15543,15,29127,51812,3399
Alaska,Kusilvak Census Area,7459,,11210,40176,404
Wisconsin,La Crosse County,114638,74,26271,51339,15201
Arizona,La Paz County,20489,26,22200,35776,6683
Colorado,La Plata County,51334,16,30151,58080,647
Texas,La Salle County,6886,123,22481,42528,3101
Kansas,Labette County,21607,2,13307,26756,3587
Minnesota,Lac qui Parle County,7259,15,22394,40916,1726
Pennsylvania,Lackawanna County,214437,,28014,48468,37895
Missouri,Laclede County,35571,,25594,46044,5556
Arkansas,Lafayette County,7645,202,19553,39013,1483
Florida,Lafayette County,8870,38,17212,29732,1084
Mississippi,Lafayette County,47351,10,18660,39722,4958
Missouri,Lafayette County,33381,9,28901,51462,5495
Wisconsin,Lafayette County,16836,26,21388,43328,2601
Louisiana,Lafayette Parish,221578,34,23637,50527,22787
Louisiana,Lafourche Parish,96318,12,23483,49107,12031
Indiana,LaGrange County,37128,149,24798,50572,4292
Alaska,Lake and Peninsula Borough,1631,70,19356,47617,127
California,Lake County,64665,20,21537,36548,11440
Colorado,Lake County,7310,2,25029,44610,5979
Florida,Lake County,297052,73,24183,45035,71825
Illinois,Lake County,703462,2,38018,77469,73093
Indiana,Lake County,496005,388,23918,49035,65870
Michigan,Lake County,11539,406,16202,29379,2736
Minnesota,Lake County,10866,408,27883,46939,2428
Montana,Lake County,28746,14,21521,38019,4834
Ohio,Lake County,230041,,29132,56018,36965
Oregon,Lake County,7895,22,22056,33611,1612
South Dakota,Lake County,11200,216,27015,48936,1893
Tennessee,Lake County,7832,6,12042,27115,1074
Minnesota,Lake of the Woods County,4045,10,21616,51786,821
Alabama,Lamar County,14564,11,21903,44069,2732
Georgia,Lamar County,18317,,19026,36028,2487
Mississippi,Lamar County,55658,18,18800,41016,6008
Texas,Lamar County,49793,18,26345,51154,857
Texas,Lamb County,13977,31,21468,40104,8276
Vermont,Lamoille County,24475,57,18744,36727,3264
North Dakota,LaMoure County,4139,6,27157,52686,1022
Texas,Lampasas County,19677,20,31989,53691,2227
Nebraska,Lancaster County,285407,2,23423,49277,31101
Pennsylvania,Lancaster County,519445,24,27141,51574,77780
South Carolina,Lancaster County,76652,162,26496,56483,11737
Virginia,Lancaster County,11391,351,21003,42217,3237
Nevada,Lander County,5775,80,30737,49248,1692
Kansas,Lane County,1750,19,29800,72742,369
Oregon,Lane County,351715,3,31694,53021,52781
Wisconsin,Langlade County,19977,,24224,42931,3986
Georgia,Lanier County,10078,241,22974,42389,1104
Michigan,Lapeer County,88319,23,17264,39452,11779
Indiana,LaPorte County,111467,8,23907,52939,15867
Wyoming,Laramie County,91738,78,22852,47538,11505
Colorado,Larimer County,299630,110,28505,55864,35541
Kentucky,Larue County,14193,52,30740,58626,2214
Colorado,Las Animas County,15507,135,19611,39753,2748
Illinois,LaSalle County,113924,15,22180,42261,18678
Louisiana,LaSalle Parish,14890,8,25709,52640,2203
California,Lassen County,34895,15,19931,53107,3474
Idaho,Latah County,37244,18,22322,41735,3858
Oklahoma,Latimer County,11154,12,22603,40970,1944
Alabama,Lauderdale County,92709,84,23510,42844,15553
Mississippi,Lauderdale County,80261,62,21346,36203,11318
Tennessee,Lauderdale County,27815,29,15758,32326,3424
Kentucky,Laurel County,58849,73,19923,36570,7577
Georgia,Laurens County,48434,48,18625,34793,6884
South Carolina,Laurens County,66537,72,19153,37383,9988
Texas,Lavaca County,19263,16,24299,44149,4089
Alabama,Lawrence County,34339,34,20181,38551,4999
Arkansas,Lawrence County,17415,28,15971,32239,3160
Illinois,Lawrence County,16833,17,14147,40145,2683
Indiana,Lawrence County,46134,53,22169,42627,7562
Kentucky,Lawrence County,15860,23,17960,33525,2245
Mississippi,Lawrence County,12929,17,20655,38393,1922
Missouri,Lawrence County,38634,35,19060,39334,6300
Ohio,Lawrence County,62450,66,21365,41552,9717
Pennsylvania,Lawrence County,91108,99,22906,43546,17128
South Dakota,Lawrence County,24097,16,27498,43273,3993
Tennessee,Lawrence County,41869,47,19136,37368,6738
Oklahoma,Le Flore County,50384,44,18141,36542,7641
Minnesota,Le Sueur County,27703,,27793,58922,3976
New Mexico,Lea County,64727,35,22484,50694,6991
Mississippi,Leake County,23805,25,16780,32521,3101
Kansas,Leavenworth County,76227,,27017,63435,8426
Pennsylvania,Lebanon County,133568,121,27074,54818,22729
Alabama,Lee County,140247,70,23506,43542,12716
Arkansas,Lee County,10424,7,12529,25034,1607
Florida,Lee County,618754,682,27348,47439,145106
Georgia,Lee County,28298,25,26357,60104,2354
Illinois,Lee County,36031,32,25409,50060,5644
Iowa,Lee County,35862,37,22649,42469,6078
Kentucky,Lee County,7887,10,13969,22920,1043
Mississippi,Lee County,82910,88,21799,42074,10749
North Carolina,Lee County,57866,53,21449,44819,7937
South Carolina,Lee County,19220,17,14740,27373,2596
Texas,Lee County,16612,15,25123,51534,2622
Virginia,Lee County,25587,23,16664,31308,3259
Michigan,Leelanau County,21708,16,31462,55018,5082
Mississippi,Leflore County,32317,22,14307,24480,3848
Pennsylvania,Lehigh County,349497,279,27923,54923,51604
Idaho,Lemhi County,7936,7,23998,34122,1758
Michigan,Lenawee County,99892,83,22395,47766,14580
North Carolina,Lenoir County,59495,63,19760,35770,9514
Florida,Leon County,275487,142,26196,46369,25980
Texas,Leon County,16801,23,24170,44452,3615
Kentucky,Leslie County,11310,19,16424,29293,1603
Kentucky,Letcher County,24519,36,17886,31200,3476
Florida,Levy County,40801,62,18304,34348,7914
Montana,Lewis and Clark County,63395,50,19910,36000,8757
Idaho,Lewis County,3821,4,16132,28388,834
Kentucky,Lewis County,13870,25,19317,42071,2043
Missouri,Lewis County,10211,11,22942,46840,1664
New York,Lewis County,27087,20,17751,34397,4076
Tennessee,Lewis County,12161,18,22212,42860,1971
Washington,Lewis County,75455,68,21175,36199,13076
West Virginia,Lewis County,16372,24,28400,56243,2928
Virginia,Lexington city,7042,5,26886,54061,4570
