STATE,COUNTY,POP,CASES,PCI,MHI,OVER65
Pennsylvania,Bradford County,62622,60,17749,40259,11152
Arkansas,Bradley County,11508,13,23667,46963,2041
Tennessee,Bradley County,98963,99,19386,30409,13999
Michigan,Branch County,45248,36,21649,41083,6659
Georgia,Brantley County,18411,22,19947,41856,2260
West Virginia,Braxton County,14523,14,16938,36070,2546
Texas,Brazoria County,313166,176,18635,31848,29923
Texas,Brazos County,194851,64,29081,67603,14059
Kentucky,Breathitt County,13878,23,21720,38310,1866
Kentucky,Breckinridge County,20059,26,14706,24045,3131
Iowa,Bremer County,24276,17,18101,38907,4192
Florida,Brevard County,543376,668,28727,61216,110712
Texas,Brewster County,9232,4,27009,48039,1531
Texas,Briscoe County,1637,2,27796,40477,358
Alaska,Bristol Bay Borough,997,2,20697,36250,83
Virginia,Bristol city,17835,12,28837,55298,12619
Massachusetts,Bristol County,548285,467,38893,71238,77879
Rhode Island,Bristol County,49875,40,37024,79531,8343
Montana,Broadwater County,5612,5,18820,32221,997
New York,Bronx County,1385108,639,24270,45932,145882
West Virginia,Brooke County,24069,30,18171,34388,4602
South Dakota,Brookings County,31965,17,22815,42493,3170
Georgia,Brooks County,16243,18,23105,46896,2560
Texas,Brooks County,7223,2,19409,34419,1226
New York,Broome County,200600,172,14345,21865,32844
Colorado,Broomfield County,55889,23,24835,45958,5508
Florida,Broward County,1748066,1121,37442,77998,249424
Illinois,Brown County,6937,7,28205,51251,859
Indiana,Brown County,15242,18,20555,42194,2620
Kansas,Brown County,9984,,25833,51568,1829
Minnesota,Brown County,25893,,21046,39968,4899
Nebraska,Brown County,3145,2,26576,48256,757
Ohio,Brown County,44846,60,21843,33647,6469
South Dakota,Brown County,36531,30,21206,44341,5873
Texas,Brown County,38106,30,27138,51398,6604
Wisconsin,Brown County,248007,150,21236,39776,28789
South Dakota,Brule County,5255,5,27787,53119,914
North Carolina,Brunswick County,107431,148,21928,45284,23026
Virginia,Brunswick County,17434,18,26839,46438,5425
Georgia,Bryan County,30233,25,16060,36293,2715
Oklahoma,Bryan County,42416,46,27556,64707,6680
Iowa,Buchanan County,20958,21,20524,38897,3205
Missouri,Buchanan County,89201,88,27038,55553,12501
Virginia,Buchanan County,24098,17,21961,44363,3381
Virginia,Buckingham County,17146,18,17489,29848,2882
Pennsylvania,Bucks County,625249,507,17167,38648,91219
Virginia,Buena Vista city,6650,5,37466,76555,3407
Iowa,Buena Vista County,20260,13,22899,46951,3055
Nebraska,Buffalo County,46102,23,18453,36591,5578
South Dakota,Buffalo County,1912,2,24830,50963,137
Wisconsin,Buffalo County,13587,9,11405,30962,2459
Kentucky,Bullitt County,74319,86,24500,47384,8287
Georgia,Bulloch County,70217,44,24308,54836,6401
Alabama,Bullock County,10914,9,18587,35840,1469
North Carolina,Buncombe County,238318,233,18628,32033,38096
Illinois,Bureau County,34978,38,26159,44713,6326
Georgia,Burke County,23316,20,26705,48977,2767
North Carolina,Burke County,90912,98,16171,31494,14673
North Dakota,Burke County,1968,2,19701,37263,412
North Dakota,Burleigh County,81308,56,32908,53693,10913
Texas,Burleson County,17187,18,32876,61811,3007
New Jersey,Burlington County,448734,344,21529,45651,62190
Texas,Burnet County,42750,47,36835,78446,7945
Wisconsin,Burnett County,15457,22,24998,48115,3569
Nebraska,Burt County,6858,9,22843,39564,1585
Alabama,Butler County,20947,16,25203,46817,3489
Iowa,Butler County,14867,15,17403,29918,2944
Kansas,Butler County,65880,,25269,52026,8327
Kentucky,Butler County,12690,17,27329,56454,2005
Missouri,Butler County,42794,59,18136,35430,7265
Nebraska,Butler County,8395,7,19246,34969,1603
Ohio,Butler County,368130,288,27673,50247,42484
Pennsylvania,Butler County,183862,157,26813,56610,27853
California,Butte County,220000,170,30957,58230,33817
Idaho,Butte County,2891,2,23787,43752,506
South Dakota,Butte County,10110,8,20995,41131,1591
Georgia,Butts County,23655,23,21744,41332,2985
North Carolina,Cabarrus County,178011,139,20363,49754,20085
West Virginia,Cabell County,96319,105,25247,53551,15364
Utah,Cache County,112656,12,23647,38374,8694
Oklahoma,Caddo County,29600,27,20074,49506,4343
Louisiana,Caddo Parish,254969,216,24308,41053,34643
California,Calaveras County,45578,38,17858,39267,9565
Louisiana,Calcasieu Parish,192768,147,29329,55295,24326
Kentucky,Caldwell County,12984,18,24355,43499,2314
Missouri,Caldwell County,9424,10,20327,37127,1576
North Carolina,Caldwell County,83029,90,22782,39385,12816
Texas,Caldwell County,38066,24,21482,41169,4510
Louisiana,Caldwell Parish,10132,13,19228,34357,1504
Vermont,Caledonia County,31227,26,19673,44152,4793
Alabama,Calhoun County,118572,110,23584,45395,16990
Arkansas,Calhoun County,5368,9,20828,39962,923
Florida,Calhoun County,14625,17,17763,30980,2258
Georgia,Calhoun County,6694,4,14675,32780,797
Illinois,Calhoun County,5089,4,14868,26986,1024
Iowa,Calhoun County,9670,9,26924,50436,2292
Michigan,Calhoun County,136146,117,25766,44484,20109
Mississippi,Calhoun County,14962,15,22978,42110,2476
South Carolina,Calhoun County,15175,18,17034,30000,2470
Texas,Calhoun County,21381,18,23023,40704,3234
West Virginia,Calhoun County,7627,6,23381,47027,1385
Texas,Callahan County,13544,12,18053,31679,2465
Missouri,Callaway County,44332,39,22855,44902,5460
Kentucky,Calloway County,37191,36,23171,47964,5620
Wisconsin,Calumet County,48971,24,21490,39677,5625
Maryland,Calvert County,88737,61,28907,65130,117476
Idaho,Camas County,1117,2,38260,95477,178
Pennsylvania,Cambria County,143679,126,21830,41154,27071
Georgia,Camden County,50513,35,22659,41730,4556
Missouri,Camden County,44002,59,22701,51990,9534
New Jersey,Camden County,513657,407,23038,43458,65725
North Carolina,Camden County,9980,8,30592,61683,1283
Pennsylvania,Cameron County,5085,6,25620,56607,1086
Texas,Cameron County,406220,141,29559,64574,44891
Louisiana,Cameron Parish,6839,5,22747,41410,881
Texas,Camp County,12401,13,14710,33179,1993
Kentucky,Campbell County,90336,94,19176,37079,11557
South Dakota,Campbell County,1466,2,26945,54306,370
Tennessee,Campbell County,40716,68,24152,35729,7011
Virginia,Campbell County,54842,54,16812,31943,3868
Wyoming,Campbell County,46133,20,23231,47162,2616
Oklahoma,Canadian County,115541,80,33850,79488,12576
Georgia,Candler County,10998,11,27552,63629,1584
Tennessee,Cannon County,13801,11,17974,35070,2216
Idaho,Canyon County,188923,112,20566,40689,20396
Missouri,Cape Girardeau County,75674,60,17755,42105,10834
New Jersey,Cape May County,97265,136,23751,46516,20977
Montana,Carbon County,10078,6,32948,56494,1895
Pennsylvania,Carbon County,65249,65,27599,47831,11644
Utah,Carbon County,21403,10,24861,48900,2903
Wyoming,Carbon County,15885,10,20155,44724,2044
Idaho,Caribou County,6963,2,25947,55347,1103
Kentucky,Carlisle County,5104,7,23586,53586,965
Minnesota,Carlton County,35386,,21500,39049,5317
Maryland,Caroline County,33066,31,24434,53016,9683
Virginia,Caroline County,28545,26,25211,58632,2452
Arkansas,Carroll County,27446,30,25718,57218,5131
Georgia,Carroll County,110527,96,20637,36584,12108
Illinois,Carroll County,15387,15,21227,46147,3262
Indiana,Carroll County,20155,20,27118,47985,3182
Iowa,Carroll County,20816,20,24531,50542,3874
Kentucky,Carroll County,10811,17,25430,48361,1395
Maryland,Carroll County,167134,120,19429,40160,4413
Mississippi,Carroll County,10597,12,36153,84790,1817
Missouri,Carroll County,9295,11,16897,31039,1779
New Hampshire,Carroll County,47818,54,24073,46002,9838
Ohio,Carroll County,28836,29,31558,50866,4803
Tennessee,Carroll County,28522,43,21783,43779,5103
Virginia,Carroll County,30042,30,18330,35049,1068
Nevada,Carson City,55274,51,19385,32853,1494
Texas,Carson County,6182,4,26827,65026,1061
Kentucky,Carter County,27720,34,26264,51957,4119
Missouri,Carter County,6265,8,19204,36406,1040
Montana,Carter County,1160,2,18245,30962,269
Oklahoma,Carter County,47557,45,24921,39659,7078
Tennessee,Carter County,57424,62,21476,41401,9818
North Carolina,Carteret County,66469,72,19018,31842,12659
Minnesota,Carver County,91042,,27496,46534,7707
Montana,Cascade County,81327,65,37457,83773,12690
Kentucky,Casey County,15955,24,24727,44963,2573
Illinois,Cass County,13642,15,15603,29934,2142
Indiana,Cass County,38966,40,22257,45734,5874
Iowa,Cass County,13956,14,21700,41940,2924
Michigan,Cass County,52293,43,25448,43481,8355
Minnesota,Cass County,28567,,22743,44346,6029
Missouri,Cass County,99478,96,25287,45045,13490
