city,country,continent,area_total,population_total,popdens,nbhd_num,GDPpc_mean,income_mean,PM25_mean,PM25.UESI,NO2_mean,NO2.UESI,UHI_mean,UHI.UESI,TREECAP_mean,TREECAP.UESI,PUBTRANS_mean,PUBTRANS.UESI,TRANSCOV_mean,TRANSCOV.UESI
bangalore,India,Asia,713493938.8,4330976,6070.095013,198,3879.939264,NA,27.03397232,8.25,27.05719958,28.9,12.61948793,16.56,2.631016203,39.4,355.6534502,99.79,0.753587003,93.4
bangkok,Thailand,Asia,1589566453,8305215,5224.830321,50,1404.701012,143344.08,34.1187351,0,34.03288387,19.69,14.34258456,5.17,19.5040928,90.43,1329.150922,73.82,0.439158384,71.92
barcelona,Spain,Europe,102099053.9,1610427,15773.1824,73,18637.41094,19346.84932,12.47878218,68.32,9.780043357,72.37,1.963791588,68.12,38.92790201,44.54,212.4960776,100,0.935340042,97.6
beijing,China,Asia,16396400000,21705000,1323.766193,16,8.637766952,41260,56.23799543,0.23,56.46587989,6.32,-2.15087962,85.97,830.7459816,89.39,4795.254644,35.29,0.302756232,64.77
berlin,Germany,Europe,887700000,3469700,3908.640306,12,189.9058766,14187.60476,14.68236697,51.87,14.62627917,55.9,-6.09096486,96.37,150.0889272,100,348.5285638,100,0.834094792,98.05
billings,United States of America,North America,1915048813,135793,70.90837532,28,1511.346807,57991.21429,5.206832247,100,4.685132775,90.04,0.115945213,77.73,288.3636134,99.72,1182.29679,82.72,0.010918387,4.48
bogota,Columbia,South America,858447565.9,7009619,8165.459695,19,679.574183,NA,12.23542253,69.92,12.12199853,64.83,4.132398219,59.9,56.45742139,91.48,1632.333604,73.41,0.486477607,80.87
boston,United States of America,North America,128158408.8,658291,5136.541613,180,112098.6601,32610.17222,8.1799069,100,7.843116311,81.25,-2.209444593,86.81,1582.465609,96.77,227.14579,99.09,0.900156996,95.7
bratislava,Slovakia,Europe,366722122.1,432864,1180.359662,17,1733.666074,NA,18.88169757,36.49,18.63688351,47.79,-5.593803993,95.36,994.005469,100,959.4861995,85.85,0.470687287,82.08
bridgeport,United States of America,North America,45269790.79,147586,3260.143187,38,15583.07692,43725.44737,9.70246148,98.85,9.439114495,73.87,-0.592491038,80.77,131.2848033,99.46,898.2758332,100,0.005137102,1.76
brisbane,Australia,Oceania,5374744369,2192736,407.9702865,228,11365.0743,6591.912281,2.684417238,100,2.314588407,94.89,7.95052488,43.41,14474.62589,99.9,1029.473594,86.71,0.607466313,82.15
brussels,Belgium,Europe,32980110.39,178675,5417.659246,107,1507469.959,20039.19089,14.34501561,53.77,14.85820317,55.4,-4.551177469,93.32,7312.277152,86.39,197.0538476,100,0.848355857,90
bucharest,Romania,Europe,239900000,2103346,8767.594831,6,171.5053145,NA,19.34432166,35.32,18.30264417,48.58,-1.822416922,85.82,11.25097462,86.96,380.0046377,100,0.854470042,99.22
budapest,Hungary,Europe,524675600.7,1749734,3334.887305,23,1038.269744,1367.086957,21.51723836,27.36,21.36248026,41.05,-3.471674246,90.46,89.56601026,96.1,298.1380092,100,0.849557673,97.6
buenosaires,Argentina,South America,203738872.7,3103763,15234.02461,15,922.5149499,68785.86667,13.28369755,60.25,13.07703493,60.54,2.735681737,64.58,0.931672783,54.83,216.7919417,100,0.938837768,99.83
cairns,Australia,Oceania,255027224.3,144781,567.7080177,18,160.1175638,5369.111111,2.090352095,100,1.639947971,96.53,7.911303551,43.77,1087.318359,100,1046.196326,79.75,0.229385234,51.87
caracas,Venezuela,South America,378118258.3,2082130,5506.557682,22,54.21569539,NA,1.785507489,100,1.747158869,96.13,7.197820468,46.74,159.4789342,86.49,1014.936526,82.96,0.46531958,75.59
casablanca,Morocco,Africa,838935532.2,4013666,4784.236507,34,908.5811545,NA,13.99534116,59.29,13.00848442,61.82,8.07454965,43.23,8.949625702,63.29,1087.125621,78.08,0.510309698,77.38
charleston,United States of America,North America,1104326150,189154,171.2845431,46,2234.075986,62109.35556,7.824660662,100,7.827961098,81.39,2.590530988,65.44,3351.383956,100,1382.035659,67.86,0.021945705,7.72
charlotte,United States of America,North America,1063289006,904772,850.9182312,206,4052.758966,63947.8867,9.168802543,100,9.188570034,75.01,2.506970742,65.61,758.0569393,99.99,1278.395618,77.77,0.082830212,19.24
chelyabinsk,Russia,Europe,501900000,1202371,2395.638573,7,171.6956296,NA,19.99265153,32.48,19.7737871,45.43,-13.02039465,100,128.8729942,100,858.4822979,100,0.499641938,85.85
chengdu,China,Asia,14335100000,13585085,947.6798209,20,5.173628151,31621.35,39.8132445,0,39.86274336,12.33,2.614978707,65.7,438.6231839,98.36,7572.591663,24.39,0.178200019,51.33
chennai,India,Asia,430500000,7547078,17530.95935,15,50.42796385,NA,29.38199331,0.58,29.51794288,24.13,13.88372951,8.14,2.718446541,71.89,1007.221125,86.84,0.494280338,77.77
chicago,United States of America,North America,597222424,2822881,4726.682868,77,5399.47667,47249.4026,11.95518809,73.43,11.83483689,65.9,-1.358441335,82.78,63.72415743,96.24,253.5921205,99.52,0.8995262,98.43
chongqing,China,Asia,82427800000,30751600,373.0731622,38,3.446595229,24414.92105,25.22529122,16.38,25.12010474,33.7,1.482823374,70.12,2495.96058,99.35,14940.42275,4.67,0.061014079,29.52
ciudaddeguatemala,Guatemala,North America,231523941.2,941988,4068.641865,22,11923.82666,NA,7.719495225,100,7.622146011,82.77,9.850065801,32.73,199.713986,96.82,1013.768938,83.84,0.32924012,62.05
ciudaddepanama,Panama,North America,1022420258,1427931,1396.618454,30,1994.425433,NA,2.350850562,100,1.990243719,95.58,13.61009232,13.38,324.9304657,92.1,1986.965215,65.01,0.424120402,70.54
cleveland,United States of America,North America,202823276.1,388944,1917.649727,177,26463.2972,27951.39429,11.93808131,74.17,11.55274501,66.62,0.808270105,73.08,214.2804373,99.85,605.4364819,98.84,0.149324189,20.79
coimbra,Portugal,Europe,319087949,143396,449.3933427,31,2138.683114,NA,5.583194395,100,5.550322109,88.47,0.695803623,74.76,1629.597042,98.86,1439.21094,65.69,0.184768542,37.23
conarky,Guinea,Africa,437644132.7,1775129,4056.101447,5,39.32584374,NA,5.635979562,100,5.266306209,88.95,9.850470387,32.1,133.8107532,98.29,3828.081342,40,0.244772531,66.12
copenhagen,Denmark,Europe,92985748.32,576423,6199.04674,10,1722.222402,297853.1,10.24098502,92.94,9.900623347,72.09,-8.673991126,100,28.19327622,99.11,370.9382308,100,0.809577188,98.21
dakar,Senegal,Africa,82374376.89,1146054,13912.74864,19,262.2212928,NA,2.900868373,100,2.91485168,93.48,9.758885444,33.28,3.494520023,45.71,255.5897724,100,0.792772085,92.59
dalian,China,Asia,13200000000,4663363,354.0360613,7,5.935763933,NA,34.92774706,0,35.06828126,18.55,-5.275273256,94.6,264.8892017,100,11399.57862,0,0.05538047,35.52
darwin,Australia,Oceania,375511314.5,123572,329.0766355,40,93237.07007,7945.4,6.046139056,100,5.793656941,88.01,12.8149533,14.73,51163.92472,100,1007.289532,84.85,0.392146555,70.24
delhi,India,Asia,1505800000,10440249,6933.35702,9,125.5173977,NA,113.6920395,0,113.5239867,0,9.456035585,36.06,8.693190517,80.42,1296.966143,73.78,0.532595024,86.57
denver,United States of America,North America,400825895.5,678467,1692.672573,144,10729.87426,65337.88732,7.756377925,100,7.511016284,82.49,4.996368206,55.27,49.0501802,93.8,457.0752148,97.47,0.565334315,73.77
detroit,United States of America,North America,369451772.4,683443,1849.884209,297,29610.40208,16365.56566,10.81904379,87.12,10.88859413,68.86,-0.561053556,80.66,182.0169762,98.33,460.7374706,100,0.339891162,51.91
dodoma,Tanzania,Africa,2619894437,410956,156.8597552,37,142.4504776,NA,7.889965556,100,7.876724004,81.09,14.77937925,2.71,3501.167311,98.64,3533.10514,30.26,0.078324749,23.62
dublin,Republic of Ireland,Europe,117170610.2,553165,4721.021756,162,13150.69608,NA,7.013023488,100,6.303594947,87.05,-7.907245361,99.49,53.42779928,96.23,195.6593643,100,0.923222633,97.6
edinburgh,Scotland,Europe,271948076.6,513220,1887.198491,17,1100.632954,38039.17647,7.46144356,100,6.0767779,87.08,-10.55327545,100,110.8752477,99.79,356.4633397,96.45,0.800409151,95.31
evansville,United States of America,North America,203905691.8,149719,734.2561096,43,6365.621567,39393.95349,10.6824502,88.7,10.20334845,70.89,0.783051771,74.18,353.069551,95.31,NA,NA,0,0
fargo,United States of America,North America,983470679.9,143245,145.6525374,26,3523.765405,52167.69231,5.712672328,100,4.779323056,89.82,-2.91074761,88.36,769.0893778,98.59,1055.587743,88.89,0.131192853,26.15
fortaleza,Brazil,South America,311730084.5,2444849,7842.839434,119,1511.441354,NA,4.126708303,100,3.63334647,92.03,13.10121468,13.26,27.1836735,69.18,736.7780503,93.58,0.3234327,52.17
freetown,Sierra Leone,Africa,74294976.54,1127199,15171.94099,8,30.9986712,NA,6.428293287,100,6.050110248,87.64,8.956839019,38.69,32.12531379,95.72,1785.911599,60,0.077298662,33.07
