"gender","nationality","height","phone","facebook","youtube","shoe","postcode","boxoffice"
"Male","Singaporean",173,70,2,120000,28,2,896389289
"Male","Non-Singaporean",NA,32,3200,3.88e+08,28,0,693481389
"Female","Non-Singaporean",163,NA,NA,3200000,24.7,NA,108101214
"Male","Singaporean",170,1,10,136149,27,1,446486224
"Female","Non-Singaporean",NA,NA,NA,NA,NA,3,NA
"Male","Non-Singaporean",178,NA,41,4700000,NA,0,60262836
"Female","Non-Singaporean",161,20,5,160000,39,1,1615590
"Female","Singaporean",164.5,91,NA,3300000,36,4,974755371
"Female","Non-Singaporean",160,96,150,194523460,25.9,0,165335153
"Female","Non-Singaporean",165,20,100,25,22.6,NA,693481389
"Female","Singaporean",165,22,NA,353234,25.4,7,1864182
"Female","Non-Singaporean",159,52,0,19000,24.7,0,124.7
"Female","Non-Singaporean",162,32,7,2.3e+07,38,0,138433435
"Male","Singaporean",170,39,0,151000,39,4,1142271098
"Female","Non-Singaporean",151,NA,NA,143000,23.1,0,131458474
"Male","Singaporean",170,14,2500,7426596,28,8,67999335
"Female","Non-Singaporean",167,98,48,40087,24.7,0,968511805
"Male","Singaporean",178,40,250,1000,28.7,1,1023790272
"Female","Non-Singaporean",160,67,195,318000,25.9,0,858373000
"Female","Non-Singaporean",151,96,6900,1900,23.1,7,124700000
"Female","Singaporean",167,83,NA,178,25.7,9,446100000
"Male","Non-Singaporean",175,98,NA,3e+06,28,1,NA
"Female","Singaporean",165,0,67,257,38,6,257620288
"Male","Singaporean",175,11,15,140000,29.4,6,204594016
"Male","Singaporean",178,69,45,34982,26.6,3,165263234
"Male","Singaporean",178,76,0,70000,28,6,1074251311
"Male","Non-Singaporean",188,23,0,178,29.4,5,188133322
"Male","Singaporean",185,30,4900,1143828,28.7,5,169333034
"Female","Singaporean",166,83,0,160000,24.7,5,9919850
"Male","Singaporean",180,96,0,420000,29.4,4,5e+06
"Male","Singaporean",178,70,2900,178,28.7,3,41162041
"Male","Singaporean",175,40,37,792000,27.4,9,68673228
"Female","Singaporean",159,62,12,36198,38,9,1450026933
"Female","Singaporean",153,90,166,482951,23.9,2,252909177
"Female","Singaporean",172,40,0,244000,25.9,3,236212992
"Male","Non-Singaporean",175,80,0,957172773,27.9,9,807083670
"Female","Non-Singaporean",151,65,35,178,23,3,2790439092
"Male","Singaporean",180,99,6000,157000,28.5,5,28815245
"Male","Singaporean",180,33,192,179,28,5,2797800564
"Female","Singaporean",165,27,0,70000,25.4,3,694713380
"Female","Singaporean",156,11,0,182,38,2,90355025
"Female","Singaporean",164,90,32,56000,25.9,4,320000
"Male","Non-Singaporean",180,73,0,1000,28.7,0,1518812988
"Male","Non-Singaporean",195.3,90,121,2100,30,0,465361176
"Male","Non-Singaporean",182,97,1500,1400,28.7,8,NA
"Female","Singaporean",170,36,NA,196,24.7,4,446486482
"Female","Non-Singaporean",157,40,NA,200,23.1,2,5986708
"Female","Non-Singaporean",166,71,3,200,24.7,5,147792047
"Male","Non-Singaporean",177,90,0,200,28.25,5,675120017
"Male","Singaporean",180,64,10,33944313,29.4,7,225933435
"Female","Singaporean",158,96,0,2.9e+07,23.9,3,257620288
"Male","Non-Singaporean",178,43,0,4193,40,9,101218804
"Male","Singaporean",178,40,0,215,25.4,4,951227416
"Male","Non-Singaporean",182,93,0,200,26.3,NA,693481389
"Male","Singaporean",160,15,1,14000,38,0,1142271098
"Male","Non-Singaporean",180,65,152,196,28,0,109423648
"Female","Non-Singaporean",165,97,34,39942177,26.6,9,592461732
"Female","Non-Singaporean",165,45,37,133633,25.9,3,355467056
"Female","Non-Singaporean",160,8,1400,2270000,23.9,4,264118201
"Female","Non-Singaporean",164,NA,NA,354980,40,3,54980
"Male","Singaporean",175,70,48,301053,27.4,7,107045109
"Female","Non-Singaporean",165,24,24,5800000,24.7,0,269994119
"Female","Singaporean",160,45,NA,345000,24.7,8,NA
"Female","Singaporean",161,16,NA,NA,25.4,3,NA
"Male","Singaporean",170,9,67,237,27.4,2,592461732
"Female","Singaporean",165,36,0,0,38,8,235347345
"Male","Non-Singaporean",173,63,0,133,25.9,8,326705902
"Female","Singaporean",149,71,15,225547,NA,2.6,3444145
"Male","Singaporean",170,7,5,744,28,4,167849
"Female","Singaporean",158,55,267000,703,24.7,3,60722734
"Male","Non-Singaporean",175,84,4,87,27,0,39970386
"Male","Non-Singaporean",180,4,21,306000,28.7,0,461991867
"Male","Singaporean",178,28,0,176,28.7,5,869848912
